Sample	0	1	2	3	4	5	6	7	8
293_S71_L001_merged - Adapter 2	(17, 1.0)	(18, 84.0)	(19, 23502.0)	(20, 17400.0)	(21, 19022.0)	(22, 15.0)			
294_S72_L001_merged - Adapter 2	(14, 1.0)	(17, 5.0)	(18, 91.0)	(19, 28848.0)	(20, 22021.0)	(21, 24506.0)	(22, 24.0)		
295_S73_L001_merged - Adapter 2	(18, 26.0)	(19, 6743.0)	(20, 5748.0)	(21, 5785.0)	(22, 2.0)				
296_S77_L001_merged - Adapter 2	(3, 0.0039269585705870805)	(18, 32.0)	(19, 11734.0)	(20, 10131.0)	(21, 9867.0)	(22, 8.0)			
297_S78_L001_merged - Adapter 2	(12, 1.0)	(14, 1.0)	(16, 2.0)	(17, 1.0)	(18, 89.0)	(19, 24225.0)	(20, 18087.0)	(21, 19959.0)	(22, 23.0)
298_S79_L001_merged - Adapter 2	(3, 0.0009573958831977022)	(13, 1.0)	(17, 2.0)	(18, 67.0)	(19, 25316.0)	(20, 19111.0)	(21, 20880.0)	(22, 12.0)	
299_S80_L001_merged - Adapter 2	(3, 0.00286000286000286)	(17, 1.0)	(18, 45.0)	(19, 16823.0)	(20, 12756.0)	(21, 14194.0)	(22, 13.0)		
300_S81_L001_merged - Adapter 2	(3, 0.0037926675094816687)	(14, 1.0)	(17, 1.0)	(18, 43.0)	(19, 19520.0)	(20, 14281.0)	(21, 15736.0)	(22, 14.0)	
301_S82_L001_merged - Adapter 2	(16, 1.0)	(18, 24.0)	(19, 7812.0)	(20, 5867.0)	(21, 6500.0)	(22, 8.0)	(50, 1.0)		
